0.0000,150.4,456
0.0050,150.4,456
0.0100,150.4,456
0.0150,150.4,456
0.0200,150.4,456
0.0250,150.4,456
0.0300,150.4,456
0.0350,150.4,456
0.0400,160,453.6
0.0450,160,453.6
0.0500,174.4,450.4
0.0550,174.4,450.4
0.0600,186.4,449.6
0.0650,186.4,449.6
0.0700,196.8,448.8
0.0750,196.8,448.8
0.0800,197.6,440
0.0850,197.6,440
0.0900,202.4,430.4
0.0950,202.4,430.4
0.1000,205.6,428.8
0.1050,205.6,428.8
0.1100,212,427.2
0.1150,212,427.2
0.1200,220.8,424.8
0.1250,220.8,424.8
0.1300,224.8,423.2
0.1350,224.8,423.2
0.1400,235.2,423.2
0.1450,235.2,423.2
0.1500,237.6,414.4
0.1550,237.6,414.4
0.1600,239.2,408
0.1650,239.2,408
0.1700,248,402.4
0.1750,248,402.4
0.1800,251.2,401.6
0.1850,251.2,401.6
0.1900,260.8,400
0.1950,260.8,400
0.2000,265.6,400
0.2050,265.6,400
0.2100,272.8,399.2
0.2150,272.8,399.2
0.2200,280,399.2
0.2250,280,399.2
0.2300,282.4,391.2
0.2350,282.4,391.2
0.2400,287.2,379.2
0.2450,287.2,379.2
0.2500,292,378.4
0.2550,292,378.4
0.2600,299.2,377.6
0.2650,299.2,377.6
0.2700,308,377.6
0.2750,308,377.6
0.2800,312.8,378.4
0.2850,312.8,378.4
0.2900,312.8,378.4
0.2950,312.8,378.4
0.3000,316.8,378.4
0.3050,316.8,378.4
0.3100,320.8,373.6
0.3150,320.8,373.6
0.3200,324,370.4
0.3250,324,370.4
0.3300,327.2,363.2
0.3350,327.2,363.2
0.3400,332.8,359.2
0.3450,332.8,359.2
0.3500,336.8,357.6
0.3550,336.8,357.6
0.3600,340,356.8
0.3650,340,356.8
0.3700,348,355.2
0.3750,348,355.2
0.3800,354.4,355.2
0.3850,354.4,355.2
0.3900,354.4,355.2
0.3950,354.4,355.2
0.4000,360.8,346.4
0.4050,360.8,346.4
0.4100,361.6,338.4
0.4150,361.6,338.4
0.4200,364.8,333.6
0.4250,364.8,333.6
0.4300,372,332
0.4350,372,332
0.4400,375.2,332
0.4450,375.2,332
0.4500,380.8,331.2
0.4550,380.8,331.2
0.4600,388,331.2
0.4650,388,331.2
0.4700,390.4,331.2
0.4750,390.4,331.2
0.4800,396.8,330.4
0.4850,396.8,330.4
0.4900,402.4,330.4
0.4950,402.4,330.4
0.5000,408.8,320.8
0.5050,408.8,320.8
0.5100,415.2,312.8
0.5150,415.2,312.8
0.5200,419.2,311.2
0.5250,419.2,311.2
0.5300,424.8,309.6
0.5350,424.8,309.6
0.5400,429.6,308.8
0.5450,429.6,308.8
0.5500,433.6,308.8
0.5550,433.6,308.8
0.5600,438.4,308
0.5650,438.4,308
0.5700,444.8,308
0.5750,444.8,308
0.5800,451.2,307.2
0.5850,451.2,307.2
0.5900,456.8,292
0.5950,456.8,292
0.6000,460.8,290.4
0.6050,460.8,290.4
0.6100,470.4,284
0.6150,470.4,284
0.6200,482.4,280.8
0.6250,482.4,280.8
0.6300,489.6,280.8
0.6350,489.6,280.8
0.6400,495.2,281.6
0.6450,495.2,281.6
0.6500,504.8,281.6
0.6550,504.8,281.6
0.6600,504.8,281.6
0.6650,504.8,281.6
0.6700,512.8,281.6
0.6750,512.8,281.6
0.6800,518.4,282.4
0.6850,518.4,282.4
0.6900,524.8,274.4
0.6950,524.8,274.4
0.7000,537.6,264
0.7050,537.6,264
0.7100,543.2,262.4
0.7150,543.2,262.4
0.7200,548.8,261.6
0.7250,548.8,261.6
0.7300,563.2,261.6
0.7350,563.2,261.6
0.7400,568.8,260.8
0.7450,568.8,260.8
0.7500,568.8,260.8
0.7550,568.8,260.8
0.7600,573.6,260
0.7650,573.6,260
0.7700,581.6,260.8
0.7750,581.6,260.8
0.7800,594.4,255.2
0.7850,594.4,255.2
0.7900,603.2,244.8
0.7950,603.2,244.8
0.8000,607.2,239.2
0.8050,607.2,239.2
0.8100,614.4,238.4
0.8150,614.4,238.4
0.8200,625.6,231.2
0.8250,625.6,231.2
0.8300,629.6,231.2
0.8350,629.6,231.2
0.8400,646.4,232.8
0.8450,646.4,232.8
0.8500,653.6,232.8
0.8550,653.6,232.8
0.8600,660.8,233.6
0.8650,660.8,233.6
0.8700,674.4,234.4
0.8750,674.4,234.4
0.8800,681.6,234.4
0.8850,681.6,234.4
0.8900,696.8,235.2
0.8950,696.8,235.2
0.9000,704,235.2
0.9050,704,235.2
0.9100,709.6,235.2
0.9150,709.6,235.2
0.9200,722.4,231.2
0.9250,722.4,231.2
0.9300,728.8,232
0.9350,728.8,232
0.9400,735.2,224.8
0.9450,735.2,224.8
0.9500,735.2,224.8
0.9550,735.2,224.8
0.9600,740,222.4
0.9650,740,222.4
0.9700,744,220
0.9750,744,220
0.9800,750.4,213.6
0.9850,750.4,213.6
0.9900,752.8,209.6
0.9950,752.8,209.6
1.0000,756,204.8
1.0050,756,204.8
1.0100,756.8,202.4
1.0150,756.8,202.4
1.0200,757.6,200.8
1.0250,757.6,200.8
1.0300,765.6,212.8
1.0350,765.6,212.8
1.0400,768.8,216.8
1.0450,768.8,216.8
1.0500,766.4,208.8
1.0550,766.4,208.8
1.0600,765.6,206.4
1.0650,765.6,206.4
1.0700,780.8,232.8
1.0750,780.8,232.8
1.0800,780.8,232.8
1.0850,780.8,232.8
