0.000,157,514
0.005,157,514
0.010,157,514
0.015,157,514
0.020,157,514
0.025,157,514
0.030,157,514
0.035,157,514
0.040,157,514
0.045,157,514
0.050,157,514
0.055,157,514
0.060,157,514
0.065,157,514
0.070,157,514
0.075,157,514
0.080,157,514
0.085,157,514
0.090,168,508
0.095,168,508
0.100,191,506
0.105,191,506
0.110,227,490
0.115,227,490
0.120,241,486
0.125,241,486
0.130,255,478
0.135,255,478
0.140,286,465
0.145,286,465
0.150,297,455
0.155,297,455
0.160,326,441
0.165,326,441
0.170,344,435
0.175,344,435
0.180,360,426
0.185,360,426
0.190,393,409
0.195,393,409
0.200,411,405
0.205,411,405
0.210,447,392
0.215,447,392
0.220,466,385
0.225,466,385
0.230,485,379
0.235,485,379
0.240,525,365
0.245,525,365
0.250,541,354
0.255,541,354
0.260,582,344
0.265,582,344
0.270,602,335
0.275,602,335
0.280,620,324
0.285,620,324
0.290,658,314
0.295,658,314
0.300,676,306
0.305,676,306
0.310,695,300
0.315,695,300
0.320,731,285
0.325,731,285
0.330,751,281
0.335,751,281
0.340,768,273
0.345,768,273
0.350,815,261
0.355,815,261
0.360,836,252
0.365,836,252
0.370,876,238
0.375,876,238
0.380,898,233
0.385,898,233
0.390,918,229
0.395,918,229
0.400,959,217
0.405,959,217
0.410,979,210
0.415,979,210
0.420,1012,200
0.425,1012,200
0.430,1029,196
0.435,1029,196
0.440,1062,186
0.445,1062,186
0.450,1076,180
0.455,1076,180
0.460,1090,176
0.465,1090,176
0.470,1116,161
0.475,1116,161
0.480,1130,159
0.485,1130,159
0.490,1142,158
0.495,1142,158
0.500,1167,156
0.505,1167,156
0.510,1178,155
0.515,1178,155
0.520,1194,150
0.525,1194,150
0.530,1203,146
0.535,1203,146
0.540,1223,148
0.545,1223,148
0.550,1230,149
0.555,1230,149
0.560,1236,148
0.565,1236,148
0.570,1245,142
0.575,1245,142
0.580,1248,139
0.585,1248,139
0.590,1254,131
0.595,1254,131
0.600,1256,126
0.605,1256,126
0.610,1258,125
0.615,1258,125
0.620,1258,125
0.625,1258,125
0.630,1259,127
0.635,1259,127
0.640,1259,127
0.645,1259,127
0.650,1259,127
0.655,1259,127
