0.000,417,428
0.010,417,428
0.020,427,431
0.030,427,431
0.040,445,433
0.050,445,433
0.060,469,435
0.070,469,435
0.080,476,433
0.090,476,433
0.100,490,431
0.110,490,431
0.120,497,429
0.130,497,429
0.140,509,426
0.150,509,426
0.160,516,424
0.170,516,424
0.180,523,424
0.190,523,424
0.200,535,420
0.210,535,420
0.220,542,417
0.230,542,417
0.240,549,418
0.250,549,418
0.260,564,414
0.270,564,414
0.280,571,415
0.290,571,415
0.300,578,416
0.310,578,416
0.320,594,417
0.330,594,417
0.340,601,417
0.350,601,417
0.360,616,418
0.370,616,418
0.380,623,418
0.390,623,418
0.400,630,414
0.410,630,414
0.420,642,410
0.430,642,410
0.440,649,408
0.450,649,408
0.460,656,406
0.470,656,406
0.480,667,398
0.490,667,398
0.500,667,398
0.510,667,398
0.520,674,398
0.530,674,398
0.540,688,395
0.550,688,395
0.560,696,393
0.570,696,393
0.580,703,393
0.590,703,393
0.600,719,394
0.610,719,394
0.620,719,394
0.630,719,394
0.640,726,394
0.650,726,394
0.660,731,395
0.670,731,395
0.680,736,395
0.690,736,395
0.700,742,395
0.710,742,395
0.720,747,396
0.730,747,396
0.740,757,396
0.750,757,396
0.760,761,396
0.770,761,396
0.780,768,396
0.790,768,396
0.800,771,397
0.810,771,397
0.820,773,397
0.830,773,397
0.840,774,397
0.850,774,397
0.860,776,397
0.870,776,397
0.880,778,391
0.890,778,391
0.900,779,386
0.910,779,386
0.920,779,386
0.930,779,386
